,Category,Link
69,HR,https://www.timesjobs.com/job-detail/airport-hiring-for-air-ticketing-ground-attendant-in-airlines-full-service-airlines-bengaluru-bangalore-chennai-hyderabad-secunderabad-kolkata-mumbai-0-to-3-yrs-jobid-WtvMcbr__SLASH__b39zpSvf__PLUS__uAgZw==&source=srp
70,HR,https://www.timesjobs.com/job-detail/import-logistics-executive-ground-staff-and-ticketing-job-in-all-india-airport-gurgaon-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-0-to-3-yrs-jobid-5gZyeEw6lQxzpSvf__PLUS__uAgZw==&source=srp
71,HR,https://www.timesjobs.com/job-detail/airport-job-in-2023-10th-12th-pass-candidates-can-apply-naveen-kumar-guntur-hyderabad-secunderabad-kakinada-karimnagar-khammam-0-to-3-yrs-jobid-HfovEpyXQ1BzpSvf__PLUS__uAgZw==&source=srp
72,HR,https://www.timesjobs.com/job-detail/hr-executives-hr-manager-canvas-facilities-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-0-to-3-yrs-jobid-k0slseZOxatzpSvf__PLUS__uAgZw==&source=srp
73,HR,https://www.timesjobs.com/job-detail/hr-executive-hr-generalist-ace-system-hyderabad-secunderabad-0-to-3-yrs-jobid-CqFrdXyZWi1zpSvf__PLUS__uAgZw==&source=srp
74,HR,https://www.timesjobs.com/job-detail/hr-executive-electrobrain-modern-technologies-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-3-to-8-yrs-jobid-yh5lM5oH4RlzpSvf__PLUS__uAgZw==&source=srp
75,HR,https://www.timesjobs.com/job-detail/hr-associate-aspire-erp-systems-hyderabad-secunderabad-mumbai-pune-thane-other-city-s-in-orrisa-1-to-6-yrs-jobid-ivikpQ6HkWpzpSvf__PLUS__uAgZw==&source=srp
76,HR,https://www.timesjobs.com/job-detail/hr-manager-augustin-xavier-ahmedabad-bengaluru-bangalore-chennai-gurgaon-hyderabad-secunderabad-2-to-7-yrs-jobid-YxJsY4M2Q__PLUS__1zpSvf__PLUS__uAgZw==&source=srp
77,HR,https://www.timesjobs.com/job-detail/hr-manager-chirec-international-school-hyderabad-secunderabad-8-to-13-yrs-jobid-hamye__SLASH__i90vxzpSvf__PLUS__uAgZw==&source=srp
78,HR,https://www.timesjobs.com/job-detail/hiring-for-data-entry-operator-max-data-entry-services-llp-gurgaon-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-0-to-3-yrs-jobid-qS__PLUS__um8EUnptzpSvf__PLUS__uAgZw==&source=srp
79,HR,https://www.timesjobs.com/job-detail/hr-head-hr-jobs-placements-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-12-to-17-yrs-jobid-HW52DTX5__SLASH__GVzpSvf__PLUS__uAgZw==&source=srp
